Epoch,NakamotoCoefficient,GiniIndex,TotalTokens,TotalVotingPower,AgentCount
222,23,0.7968,19685615.24,5936169.13,1483
223,22,0.7963,19407101.02,5849722.94,1468
224,22,0.7962,19182678.55,5779075.82,1456
225,22,0.7965,19163226.19,5770215.27,1448
226,21,0.7974,18958549.76,5706350.96,1432
227,22,0.7900,18157208.53,5465738.40,1429
228,22,0.7885,17882792.86,5381401.21,1421
229,24,0.7792,17028777.56,5124172.57,1415
230,24,0.7801,16950093.00,5098374.62,1405
231,24,0.7784,16621118.62,4997814.88,1391
232,23,0.7785,16605925.56,4990311.16,1385
233,23,0.7791,16525917.30,4964362.21,1376
234,23,0.7795,16472272.11,4946394.15,1367
235,22,0.7793,16344002.90,4906100.58,1360
236,22,0.7803,16200006.88,4860840.76,1349
237,22,0.7783,15749247.88,4723973.00,1333
238,22,0.7761,15517962.51,4653410.91,1329
239,24,0.7638,14528172.72,4358533.60,1321
240,24,0.7638,14520269.36,4354093.82,1317
241,24,0.7645,14500819.92,4346336.61,1314
242,24,0.7632,14336581.65,4296415.48,1309
243,23,0.7640,14245239.87,4266882.11,1297
244,26,0.7536,13464268.45,4034582.54,1287
245,26,0.7532,13471180.68,4034504.32,1287
246,25,0.7531,13419988.28,4016805.23,1280
247,25,0.7539,13359450.24,3996195.67,1266
248,25,0.7542,13317581.54,3982262.52,1259
249,24,0.7561,13231022.39,3954763.86,1245
250,24,0.7571,13184041.84,3939408.36,1230
251,24,0.7571,13160146.08,3931568.09,1230
252,24,0.7573,13052986.21,3898130.22,1218
253,23,0.7579,13040111.02,3891696.30,1213
254,23,0.7580,12991963.18,3876147.41,1206
255,22,0.7574,12800886.66,3818719.39,1198
256,22,0.7539,12470912.12,3719981.38,1188
257,20,0.7507,12048371.02,3594309.65,1174
258,20,0.7465,11739585.40,3502176.22,1166
259,20,0.7471,11711492.18,3493030.33,1159
260,20,0.7464,11572896.59,3451664.23,1152
261,19,0.7481,11528351.92,3436738.40,1142
262,19,0.7487,11401551.24,3396963.29,1127
263,19,0.7483,11405702.14,3396966.52,1126
264,19,0.7482,11404092.20,3395353.15,1123
265,19,0.7485,11383122.92,3387965.26,1117
266,19,0.7483,11367681.12,3381942.46,1117
267,18,0.7489,11347347.23,3374907.37,1108
268,18,0.7502,11307209.08,3361246.22,1099
269,18,0.7509,11228971.13,3337383.30,1091
270,18,0.7507,11227822.95,3336017.89,1090
271,18,0.7456,10915773.15,3243588.17,1084
272,18,0.7458,10902961.03,3238684.16,1078
273,18,0.7466,10884554.46,3231837.27,1076
274,18,0.7472,10866673.53,3225367.51,1070
275,18,0.7484,10822234.70,3211146.43,1057
276,17,0.7489,10714695.33,3178391.22,1048
277,17,0.7496,10681162.30,3167475.18,1040
278,17,0.7496,10628079.24,3151143.17,1038
279,18,0.7402,10176766.54,3019099.14,1033
280,18,0.7404,10144770.44,3008491.97,1028
281,18,0.7399,10095138.90,2992457.16,1024
282,18,0.7402,10077198.15,2986377.58,1017
283,17,0.7366,9894840.61,2933015.96,1014
284,17,0.7381,9837515.47,2914582.58,1006
285,16,0.7388,9717158.42,2878230.20,996
